MerchantId,MerchantName,Description,Category,Tag,Rating,StreetAddress,City,StateProvince,PostalCode,Country,LocationType,Longitude,Latitude
91dbb95d-37c7-44d0-b528-db5229fd39ee,청담보쌈옥,"캐주얼 버거. 혼밥 친화적, 회전 빠른 메뉴 구성.",버거,"예약, 발렛, 무알코올옵션, 배달",4.1,부산 중앙로 17,부산광역시,부산광역시,41338,대한민국,Point,129.124498,35.200505
6ea4dbbe-78ed-4a18-af02-6fd022630e80,마포타코바팩토리,"캐주얼 해산물. 혼밥 친화적, 회전 빠른 메뉴 구성.",해산물,"글루텐프리, 포장, 라이브음악, 야외좌석, 주차장, 콘센트",3.4,용인 연남로 111,경기도 용인시,경기도 용인시,11161,대한민국,Point,127.201593,37.253847
57f1c663-4637-4fa9-99f1-a935b5661762,남산보쌈바,글루텐프리/비건 옵션 제공하는 멕시칸. 알레르기 표기 철저.,멕시칸,"무알코올옵션, 발렛, 루프탑",3.4,제주 산책로 186,제주특별자치도 제주시,제주특별자치도 제주시,63103,대한민국,Point,126.597783,33.51596
0a5195ed-11ef-4e89-8a3e-2106cef64c9c,광안와인룸바,심야 영업하는 중동. 바 형태 좌석과 소믈리에 페어링.,중동,"콘센트, 조용한분위기, 단체석, 노키즈",4.3,부산 산책로 37,부산광역시,부산광역시,42832,대한민국,Point,129.007979,35.165565
d2d3b2a7-edf0-4068-82a3-4f261e490561,서면포차공방,버거 전문. 지역 농산물만 사용하며 시즌마다 코스가 바뀌는 곳.,버거,"콘센트, 키즈존, 루프탑, 에어컨",2.9,창원 청춘대로 291,경상남도 창원시,경상남도 창원시,55376,대한민국,Point,128.67857,35.326937
10e272e3-6f5f-40b5-9d22-8b1b65a1e6cb,북촌포차라운지,글루텐프리/비건 옵션 제공하는 양식. 알레르기 표기 철저.,양식,"라이브음악, 야외좌석, 루프탑, 와이파이, 노키즈",5.0,광주 바다로 71,광주광역시,광주광역시,67101,대한민국,Point,126.797995,35.080568
5f2caa10-ae11-4315-8b98-34394e85cccf,죽전면옥소굴,대형 단체석 보유. 가족·회식에 특화된 국밥.,국밥,"글루텐프리, 예약, 키즈존, 주차장, 무알코올옵션, 콘센트",4.7,울산 백년로 137,울산광역시,울산광역시,45146,대한민국,Point,129.200811,35.481632
8e2f8722-41a8-4933-b421-4195de5be087,서촌치킨스튜디오헌,글루텐프리/비건 옵션 제공하는 샤브샤브. 알레르기 표기 철저.,샤브샤브,"휠체어, 단체석, 글루텐프리",3.1,창원 바다로 83,경상남도 창원시,경상남도 창원시,58095,대한민국,Point,128.572374,35.247721
137c903c-bc50-496a-868c-11d794550a39,성수포차당,"캐주얼 카페. 혼밥 친화적, 회전 빠른 메뉴 구성.",카페,"발렛, 조용한분위기, 반려동물동반",5.0,제주 해변로 273,제주특별자치도 제주시,제주특별자치도 제주시,62782,대한민국,Point,126.580865,33.439758
8534c6d9-063e-4bbe-9e9f-05b3184ff358,서면샤브당정,펍 시그니처 3종으로 승부. 재료 원산지 100% 공개.,펍,"예약, 글루텐프리, 라이브음악, 심야영업, 노키즈, 반려동물동반",3.3,인천 중앙로 174,인천광역시,인천광역시,29839,대한민국,Point,126.521298,37.405054
132441e2-4fc2-4bbd-aa69-465bf2cd4210,한남면옥당,심야 영업하는 버거. 바 형태 좌석과 소믈리에 페어링.,버거,"와이파이, 콘센트, 글루텐프리",4.3,서울 바다로 110,서울특별시,서울특별시,02997,대한민국,Point,126.989189,37.58645
f44ceef9-f9e2-450a-8f80-2878c0db9468,제주돌초밥팩토리,심야 영업하는 펍. 바 형태 좌석과 소믈리에 페어링.,펍,"예약, 단체석, 야외좌석, 에어컨, 심야영업, 무알코올옵션",4.4,인천 한강대로 56,인천광역시,인천광역시,23387,대한민국,Point,126.555046,37.385046
c149d515-fda6-4e8d-a63a-0a2f6c59816d,해운대버거라운지라운지,로컬과 제철을 강조하는 와인바. 오픈키친과 셰프 테이블 운영.,와인바,"무알코올옵션, 발렛, 주차장",4.8,인천 해변로 122,인천광역시,인천광역시,26773,대한민국,Point,126.770733,37.566163
097cfd41-b808-48af-8f75-4c284b0a8dfd,청담만두옥,루프탑/야외좌석을 갖춘 아시아. 석양 명소로 유명.,아시아,"배달, 단체석, 야외좌석, 무알코올옵션, 반려동물동반",3.5,울산 산책로 30,울산광역시,울산광역시,48050,대한민국,Point,129.319197,35.460028
acf6fbb9-9798-4a8d-952f-751cf982a85f,남산치킨스튜디오가,"포장마차을(를) 모던하게 재해석. 소규모 예약제, 한정 메뉴.",포장마차,"발렛, 조용한분위기, 와이파이",3.7,대구 한강대로 292,대구광역시,대구광역시,79909,대한민국,Point,128.680081,35.770496
cb63a566-60f8-40e1-9071-da16ad3d521c,동백와인룸정,심야 영업하는 치킨. 바 형태 좌석과 소믈리에 페어링.,치킨,"휠체어, 콘센트, 루프탑, 배달",3.8,성남 중앙로 38,경기도 성남시,경기도 성남시,17991,대한민국,Point,127.081973,37.360989
e975ce8c-82b9-4808-b2dd-86fa2f73f762,월정면옥호,심야 영업하는 멕시칸. 바 형태 좌석과 소믈리에 페어링.,멕시칸,"포장, 휠체어, 주차장, 심야영업, 무알코올옵션",4.3,대구 가로수길 284,대구광역시,대구광역시,71241,대한민국,Point,128.709846,35.972428
